KRIPTOLAR,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Volume2,vol_fark,satis_fark
XRPUPUSDT-11,1635724800000,481480000,710470000,258940000,326940000,2706402252000000,1638316799999,12256147791405400,451559,1327818046000000,6031132201251200,0,2520158703000000,186243549000000,-154540000
NEARBUSD-11,1635724800000,1016000000,1266200000,754100000,875300000,2563744210000000,1638316799999,26318619360400000,865528,1253430380000000,12894176827670000,0,4061356980000000,-1497612770000000,-140700000
NANOUSDT-11,1635724800000,623200000,664000000,450000000,486000000,3779856580000000,1638316799999,21646921073820000,780882,1860898390000000,10681852765070000,0,4812831050000000,-1032974470000000,-137200000
NANOBUSD-11,1635724800000,623700000,663900000,450300000,488100000,678242130000000,1638316799999,3914432487970000,217062,333093740000000,1928431200370000,0,1165187190000000,-486945060000000,-135600000
AXSBUSD-11,1635724800000,13841000000,16597000000,12046000000,13706000000,441329475000000,1638316799999,63157188794310000,1487337,225169108000000,32246138479570000,0,1306294216000000,-864964741000000,-135000000
TRXDOWNUSDT-11,1635724800000,870700000,953300000,414700000,736300000,215431194000000,1638316799999,1260790540849000,99766,114541359000000,671959654377000,0,80178752000000,135252442000000,-134400000
OGUSDT-11,1635724800000,630100000,827900000,490000000,497600000,762467145500000,1638316799999,4906568195269300,237316,366603352000000,2363647756361400,0,1307940780000000,-545473634500000,-132500000
AXSUSDT-11,1635724800000,13826000000,16609000000,12028000000,13701000000,3142483713000000,1638316799999,447314361539510000,7081496,1570117626000000,224159422824130000,0,8265624413000000,-5123140700000000,-125000000
CELOUSDT-11,1635724800000,623300000,677600000,448600000,515400000,11192462500000000,1638316799999,63423938885180000,1764160,5455997550000000,30935266685000000,0,19415593410000000,-8223130910000000,-107900000
UNIUPUSDT-11,1635724800000,307000000,405900000,152000000,202200000,1074461085000000,1638316799999,2856944346905000,171746,566420061000000,1510069285666000,0,1295458259000000,-220997174000000,-104800000
1INCHBUSD-11,1635724800000,457400000,476100000,337300000,354700000,2671052380000000,1638316799999,11094589352010000,653858,1300263450000000,5398106746170000,0,6534342420000000,-3863290040000000,-102700000
MATICBRL-11,1635724800000,1105800000,1229300000,811000000,1012700000,429754770000000,1638316799999,4269476109040000,40070,209506360000000,2082881900520000,0,696108078000000,-266353308000000,-93100000
KAVABUSD-11,1635724800000,590100000,629800000,457400000,500600000,461409240000000,1638316799999,2543211930780000,131410,222250510000000,1229813947700000,0,535353470000000,-73944230000000,-89500000
XTZBUSD-11,1635724800000,635300000,686400000,427000000,548900000,1773883070000000,1638316799999,10175865673250000,375945,897784880000000,5145039482650000,0,4189888671000000,-2416005601000000,-86400000
FIROUSDT-11,1635724800000,848000000,987200000,666600000,768400000,923173540000000,1638316799999,7567631283980000,307715,446821840000000,3669007372190000,0,2255212822400000,-1332039282400000,-79600000
LTCDOWNUSDT-11,1635724800000,161500000,169200000,57700000,85400000,4975555130000000,1638316799999,4097288747430700,302228,2488961344000000,2058179477699900,0,712436632000000,4263118498000000,-76100000
XRPBRL-11,1635724800000,635800000,744400000,504400000,566700000,3456032900000000,1638316799999,22274524247700000,117433,1657224700000000,10713920563200000,0,4319169500000000,-863136600000000,-69100000
C98BUSD-11,1635724800000,367900000,464500000,275700000,302000000,6343859150000000,1638316799999,23655537164840000,832070,3115819830000000,11629176476550000,0,11480142040000000,-5136282890000000,-65900000
EOSBUSD-11,1635724800000,464000000,539000000,366300000,400400000,4646467990000000,1638316799999,21322090125800000,442756,2351930170000000,10808775341890000,0,6951065450000000,-2304597460000000,-63600000
EOSUSDT-11,1635724800000,463700000,544000000,366000000,400400000,63920994470000000,1638316799999,289255995149320000,6863417,31299282600000000,141642504790270000,0,67445098460000000,-3524103990000000,-63300000
LINKUPUSDT-11,1635724800000,199320000,345610000,107360000,136100000,3001660093000000,1638316799999,6022508597491900,452658,1463782828000000,2951768617413600,0,5655897889000000,-2654237796000000,-63220000
EOSUSDC-11,1635724800000,464400000,538400000,366600000,402000000,751379970000000,1638316799999,3432133452760000,41173,378173870000000,1736988976150000,0,1020979940000000,-269599970000000,-62400000
THETABUSD-11,1635724800000,722600000,849400000,583400000,661000000,1793325220000000,1638316799999,12775127524020000,528130,890299520000000,6354070236250000,0,2259841110000000,-466515890000000,-61600000
ICXBUSD-11,1635724800000,233800000,271900000,159500000,175000000,3834171465000000,1638316799999,8245842566388900,435783,1848015195000000,3983412805507900,0,4515636790000000,-681465325000000,-58800000
ICXUSDT-11,1635724800000,233300000,271900000,159300000,174900000,28857682521000000,1638316799999,62176821620987200,1526817,13955755607000000,30141412771777200,0,28816576167000000,41106354000000,-58400000
PAXGBNB-11,1635724800000,339300000,359300000,271500000,285700000,190832600000,1638316799999,584988684130,9133,88673160000,272456956990,0,183292460000,7540140000,-53600000
MTLBUSD-11,1635724800000,344700000,359000000,273500000,291100000,182847520000000,1638316799999,587297076290000,46638,88662830000000,284587676230000,0,324305590000000,-141458070000000,-53600000
MTLUSDT-11,1635724800000,344900000,358900000,272700000,291600000,4965629640000000,1638316799999,15891925660320000,667262,2466628390000000,7900170921040000,0,7946269510000000,-2980639870000000,-53300000
