KRIPTOLAR,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Volume2,vol_fark,satis_fark
ELFUSDT-10,1633046400000,63400000,75000000,49770000,58090000,13277498310000000,1635724799999,8463071828596000,354568,6827764710000000,4357882868620000,0,44856066310000000,-31578568000000000,-5310000
VETBUSD-10,1633046400000,9600000,14778000,9514000,13324000,483448389190000000,1635724799999,58600292700963100,1707571,238328557860000000,28902051854723500,0,514634185600000000,-31185796410000000,3724000
FTMBTC-10,1633046400000,2752,5903,2505,4675,92969053400000000,1635724799999,3702113799500,4061404,47441885600000000,1902723252055,0,123914010200000000,-30944956800000000,1923
FETBTC-10,1633046400000,1649,1788,1077,1274,22713096500000000,1635724799999,302469861743,557967,11142778400000000,148577178959,0,53562399600000000,-30849303100000000,-375
UTKUSDT-10,1633046400000,34110000,47050000,33780000,39020000,43970842300000000,1635724799999,17544385831770000,649266,21718340000000000,8687341554710000,0,74446808199000000,-30475965899000000,4910000
ELFBTC-10,1633046400000,1442,1542,852,948,5699113400000000,1635724799999,64048859809,158975,2991015000000000,33783568534,0,35235442200000000,-29536328800000000,-494
USDCUSDT-10,1633046400000,100000000,101950000,99760000,99940000,480180599600000000,1635724799999,480103555163381000,1152181,234326654500000000,234286146443384000,0,509640288707000000,-29459689107000000,-60000
ALGOBTC-10,1633046400000,3715,4434,2625,2985,20343411500000000,1635724799999,676541151748,938356,10284852800000000,341752710838,0,49358912600000000,-29015501100000000,-730
QLCETH-10,1633046400000,853,1055,804,844,9607252200000000,1635724799999,86670145701,10042,4287556800000000,38895469023,0,38241145800000000,-28633893600000000,-9
RAMPBUSD-10,1633046400000,27280000,36680000,25800000,27110000,27006526100000000,1635724799999,8330659207130000,360383,13189209700000000,4070728048480000,0,55620585668000000,-28614059568000000,-170000
RSRBUSD-10,1633046400000,3021000,4552000,2968000,4013000,185286816700000000,1635724799999,6969935337030900,244557,91504044750000000,3442749919272800,0,213813303110000000,-28526486410000000,992000
LTOUSDT-10,1633046400000,24950000,33900000,24300000,28930000,42113156900000000,1635724799999,11834765347400000,547499,20670029400000000,5821256916250000,0,69127456200000000,-27014299300000000,3980000
VIBBTC-10,1633046400000,89,129,84,87,59892009100000000,1635724799999,56809511879,65879,32965122300000000,31309447150,0,86712811300000000,-26820802200000000,-2
BLZUSDT-10,1633046400000,21290000,31500000,21060000,26100000,95770177600000000,1635724799999,24073086263560000,976146,48494727500000000,12203640265080000,0,120087114610000000,-24316937010000000,4810000
AUDIOUSDT-10,1633046400000,209900000,270000000,180000000,222300000,25552761900000000,1635724799999,55331462822020000,1887289,12405153760000000,26920529248490000,0,48841768741000000,-23289006841000000,12400000
TLMBUSD-10,1633046400000,17020000,33390000,15870000,24190000,153269557900000000,1635724799999,33117539385500000,1030498,76141271400000000,16483838352690000,0,175890433435000000,-22620875535000000,7170000
ADAEUR-10,1633046400000,183000000,203800000,156200000,170700000,21039886867000000,1635724799999,39071370313349700,721361,9887513236000000,18387697902570000,0,42833009308000000,-21793122441000000,-12300000
ALPHAUSDT-10,1633046400000,86590000,116000000,86010000,102110000,30435269576000000,1635724799999,31303354894820000,1143820,15116459176000000,15551454936610000,0,51098576240000000,-20663306664000000,15520000
FRONTBUSD-10,1633046400000,112380000,154960000,100380000,114710000,11977829100000000,1635724799999,15180860978540000,729223,5833597800000000,7397751169810000,0,32628378913000000,-20650549813000000,2330000
STMXETH-10,1633046400000,864,1179,629,755,99775863400000000,1635724799999,857188748183,52602,47374199600000000,407967991616,0,120284101000000000,-20508237600000000,-109
ELFBUSD-10,1633046400000,63210000,75070000,49840000,58220000,2982238330000000,1635724799999,1922430706642000,113028,1449203830000000,935472735841000,0,22836864120000000,-19854625790000000,-4990000
ZILBTC-10,1633046400000,196,216,140,184,174424903400000000,1635724799999,307560636099,296730,84926478600000000,150273192471,0,193943569100000000,-19518665700000000,-12
TRXTRY-10,1633046400000,79220000,100830000,78500000,97350000,136853593700000000,1635724799999,124607019948630000,409530,68479162300000000,62376802238230000,0,155355631400000000,-18502037700000000,18130000
AMBBTC-10,1633046400000,64,73,55,63,36453929700000000,1635724799999,23067873364,45657,15704603300000000,10041610187,0,54886720700000000,-18432791000000000,-1
